"","LFC","padj","DE"
"Cre06.g288908",-3.00511291623183,5.4269233761998e-18,TRUE
"Cre06.g289300",3.36657230868822,4.13233864182461e-16,TRUE
"Cre06.g290200",-2.2543054740758,2.28006435874856e-23,TRUE
"Cre06.g291500",-5.20666744063991,8.40427486434807e-38,TRUE
"Cre06.g291700",-2.372854957658,5.98935973700689e-33,TRUE
"Cre06.g293100",-6.4443067529275,1.37007764012105e-19,TRUE
"Cre06.g294000",2.71958561804702,4.80572664511734e-19,TRUE
"Cre06.g294150",-5.59469879401178,6.14718841580835e-11,TRUE
"Cre06.g294250",2.10153260200475,2.17861378003138e-05,TRUE
"Cre06.g295450",3.06914861245335,6.60233787070526e-13,TRUE
"Cre06.g297500",3.68338248826673,1.88550516154802e-08,TRUE
"Cre06.g299550",2.1109525783774,7.19468352749053e-06,TRUE
"Cre06.g300500",-4.11520314422361,2.85537874205513e-27,TRUE
"Cre06.g305350",-3.10717893060241,6.10013982841799e-30,TRUE
"Cre06.g306900",-4.76106826327281,1.43865057925715e-32,TRUE
"Cre06.g307500",3.16988958289789,4.04629381951339e-07,TRUE
"Cre06.g308200",-4.52832695245204,1.50062359459227e-94,TRUE
"Cre06.g308650",-2.61617621589471,3.02089017483464e-25,TRUE
"Cre06.g310200",-2.20120817631211,4.63961408800533e-19,TRUE
"Cre06.g310800",-2.09665040106844,3.61985898853056e-11,TRUE
"Cre06.g310900",-2.51831221164974,2.43917328590766e-36,TRUE
"Cre06.g310950",3.63297968985406,2.55327845244396e-76,TRUE
"Cre06.g311500",2.14932798425994,6.05477331446426e-12,TRUE
"Cre07.g314500",-3.39339274324307,2.28267091993194e-17,TRUE
"Cre07.g315250",3.19081072649073,5.5986174929377e-10,TRUE
"Cre07.g315550",2.60625207413449,1.03939386945097e-23,TRUE
"Cre07.g318600",3.62411539116258,7.45022938895154e-05,TRUE
"Cre07.g318800",-5.16608776977532,1.01414691148092e-16,TRUE
"Cre07.g320700",-2.68062289862002,2.4036877243018e-18,TRUE
"Cre07.g321400",-2.60257109869071,7.75654567699997e-10,TRUE
"Cre07.g321600",2.31986719235439,0.00102548575813938,TRUE
"Cre07.g321800",4.03534086369553,2.2317728506308e-09,TRUE
"Cre07.g322800",-3.1132214634123,1.33488381352983e-50,TRUE
